words,labels,entities,term_list
"['Ainsi', ',', ""d'"", 'une', 'part', ',', 'le', 'cavalier', 'se', 'sentira', 'épaulé', 'et', 'orienté', 'dans', 'son', 'projet', 'sportif', 'que', 'le', 'juge', 'aura', 'validé', 'et', ""d'"", 'autre', 'part', 'la', 'compétence', 'du', 'juge', 'sera', 'reconnue', 'dès', 'lors', ""qu'"", 'elle', 'sera', 'confirmée', 'par', ""d'"", 'autres', 'collègues', 'lors', 'des', 'concours', 'officiels', 'suivants', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O']","{('Term', 19, 19), ('Term', 7, 7), ('Term', 44, 44), ('Term', 29, 29)}","['juge', 'cavalier', 'concours', 'juge']"
"['LA', 'PIROUETTE', 'AU', 'PAS']","['O', 'B-Term', 'I-Term', 'I-Term']","{('Term', 1, 3)}",['PIROUETTE AU PAS']
"['Comment', 'juger', 'la', 'pirouette', 'au', 'pas', '?']","['O', 'B-Term', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O']","{('Term', 3, 5), ('Term', 1, 1)}","['pirouette au pas', 'juger']"
"[""J'"", 'étais', 'encore', 'à', 'cheval', ""l'"", 'autre', 'jour', 'lorsque', ""l'"", 'un', 'de', 'nos', 'amis', ',', 'juge', 'national', ',', 'venu', 'déjeuner', 'à', 'la', 'maison', ',', 'a', 'fait', 'une', 'halte', 'dans', 'le', 'manège', 'avant', ""d'"", 'aller', 'prendre', ""l'"", 'apéritif', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 30, 30), ('Term', 15, 15), ('Term', 4, 4)}","['manège', 'juge', 'cheval']"
"['Au', 'pas', ',', 'je', 'travaillais', 'cercles', 'hanches', 'en', 'dedant', ',', 'demi-tours', 'autour', 'des', 'épaules', 'et', 'demi-pirouettes', '.']","['O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'BN-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'I-Term', 'I-Term', 'IN-Term', 'O', 'B-Term', 'O']","{('Term', 10, 13), ('Term', 15, 15), ('Term', 1, 1), ('Term', 5, 5), ('Term', 6, 8)}","['demi-tours autour des épaules', 'demi-pirouettes', 'pas', 'cercles', 'hanches en dedant']"
"['Ce', 'travail', ""l'"", 'a', 'intéressé', 'et', 'le', 'juge', 'qui', 'sommeille', 'en', 'chacun', 'de', 'nous', ""s'"", 'est', 'manifesté', 'rapidement', ':', '«', 'que', 'penses-tu', ',', ""m'"", ""a-t'il"", 'questionné', ',', 'des', 'chevaux', 'qui', 'écartent', 'le', 'postérieur', 'externe', 'à', 'la', 'première', 'foulée', 'de', 'la', 'pirouette', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O']","{('Term', 7, 7), ('Term', 37, 37), ('Term', 40, 40), ('Term', 32, 33), ('Term', 28, 28)}","['juge', 'foulée', 'pirouette', 'postérieur externe', 'chevaux']"
"['»', 'La', 'réponse', 'était', 'facile', ':', '«', ""c'"", 'est', 'le', 'contraire', 'du', 'but', 'recherché', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
['»'],['O'],set(),[]
"['A', 'partir', 'de', 'là', ',', ""j'"", 'ai', 'tenté', 'de', 'lui', 'montrer', 'en', 'pratique', 'tous', 'les', 'écueils', 'de', 'la', 'pirouette', 'et', 'je', 'me', 'suis', 'efforcée', 'de', 'lui', 'en', 'présenter', 'également', 'des', 'exemplaires', 'satisfaisants', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 18, 18)}",['pirouette']
"['Je', 'vais', 'tenter', 'de', 'répéter', 'ici', 'ce', 'que', 'nous', 'avons', 'passé', 'en', 'revu', 'comme', 'fautes', 'courantes', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Nous', 'avions', 'mis', 'de', 'côté', 'les', 'eventuels', 'problèmes', 'de', 'rythme', '(', 'quatre', 'temps', 'perturbés', ',', 'latéralisation', ')', 'pour', 'nous', 'cantonner', 'à', 'la', 'seule', 'réalisation', 'du', 'mouvement', ':']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 25, 25), ('Term', 9, 9), ('Term', 15, 15), ('Term', 12, 12)}","['mouvement', 'rythme', 'latéralisation', 'temps']"
"['–', 'attitude', 'et', 'flexion', 'correctes']","['O', 'O', 'O', 'B-Term', 'O']","{('Term', 3, 3)}",['flexion']
"['–', 'maintien', 'de', 'la', 'cadence', 'er', 'conservation', 'de', ""l'"", 'activité', 'afin', 'de', 'ne', 'pas', '«', 'coller', '»']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 9, 9), ('Term', 15, 15), ('Term', 4, 4)}","['activité', 'coller', 'cadence']"
"['–', 'observation', 'précise', 'des', 'posers', 'de', 'chaque', 'postérieur', ':', 'le', 'postérieur', 'extérieur', 'devant', 'dès', 'la', 'première', 'foulée', 'passer', 'devant', ""l'"", 'intérieur', 'et', 'ce', 'postérieur', 'intérieur', 'ne', 'devant', 'en', 'aucun', 'cas', ""s'"", 'échapper', 'vers', 'le', 'côté', 'mais', 'bien', 'rester', 'sous', 'la', 'masse', 'tout', 'en', 'restant', 'mobile']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O']","{('Term', 23, 24), ('Term', 16, 16), ('Term', 7, 7), ('Term', 38, 40), ('Term', 10, 11), ('Term', 20, 20)}","['postérieur intérieur', 'foulée', 'postérieur', 'sous la masse', 'postérieur extérieur', 'intérieur']"
"['–', 'enfin', 'les', 'antérieurs', 'tournant', 'à', 'la', 'vitesse', 'choisie', 'par', 'le', 'cavalier', 'et', 'modulable', 'selon', 'la', 'volonté', 'de', 'ce', 'dernier']","['O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 11, 11), ('Term', 3, 3)}","['cavalier', 'antérieurs']"
"['Il', ""m'"", 'a', 'dit', 'sa', 'satisfaction', 'et', ""m'"", 'a', 'conté', 'les', 'difficultés', ',', 'différences', 'ou', 'discussions', 'que', 'le', 'jugement', 'de', 'ce', 'mouvement', 'suscite', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 18, 18), ('Term', 21, 21)}","['jugement', 'mouvement']"
"['Pouvoir', 'ainsi', 'clarifier', 'par', ""l'"", 'exemple', 'les', 'diverses', 'situations', 'qui', 'se', 'présentent', 'aux', 'juges', 'nous', 'a', 'tous', 'les', 'deux', 'pleinement', 'satisfaits', 'et', ""c'"", 'est', 'donc', 'avec', 'bonne', 'conscience', 'que', 'nous', 'sommes', 'allés', 'trinquer', 'aux', 'pirouettes', 'au', 'pas', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O']","{('Term', 34, 36), ('Term', 13, 13)}","['pirouettes au pas', 'juges']"
"['Airs', 'relevés']","['B-Term', 'I-Term']","{('Term', 0, 1)}",['Airs relevés']
"['Les', 'airs', 'relevés', 'sont', 'des', 'figures', 'de', 'dressage', 'de', 'Haute', 'école', 'en', 'équitation', 'au', 'cours', 'desquelles', 'le', 'cheval', 'quitte', 'le', 'sol', ',', 'soit', 'seulement', 'au', 'niveau', 'de', 'son', 'avant-main', '(', '«', 'courbette', '»', 'ou', '«', 'pesade', '»', ')', 'soit', 'en', 'totalité', '(', '«', 'balotade', '»', ',', '«', 'cabriole', '»', '…', ')', '.']","['O', 'BN-Term', 'I-Term', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'I-Term', 'I-Term', 'IN-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 5, 10), ('Term', 17, 17), ('Term', 31, 31), ('Term', 35, 35), ('Term', 43, 43), ('Term', 47, 47), ('Term', 1, 2), ('Term', 12, 12), ('Term', 28, 28)}","['figures de dressage de Haute école', 'cheval', 'courbette', 'pesade', 'balotade', 'cabriole', 'airs relevés', 'équitation', 'avant-main']"
"['Particulièrement', 'techniques', ',', 'ils', 'sont', 'enseignés', 'et', 'codifiés', 'depuis', 'la', 'Renaissance', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['De', 'nos', 'jours', ',', 'les', 'académies', ""d'"", 'équitation', 'comme', 'le', 'Cadre', 'noir', 'et', ""l'"", 'école', 'espagnole', 'de', 'Vienne', 'les', 'présentent', 'en', 'spectacle', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 5, 7)}","[""académies d' équitation""]"
"['Les', 'différents', 'airs', 'relevés']","['O', 'O', 'BN-Term', 'I-Term']","{('Term', 2, 3)}",['airs relevés']
"['La', 'plupart', 'des', 'chevaux', 'ne', 'peuvent', 'en', 'général', 'apprendre', ""qu'"", 'un', 'seul', 'mouvement', 'aérien', 'lors', 'de', 'leur', 'formation', 'à', 'cause', 'de', 'leur', 'difficulté', '.']","['O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 17, 17), ('Term', 3, 3), ('Term', 12, 12)}","['formation', 'chevaux', 'mouvement']"
['Courbette'],['B-Term'],"{('Term', 0, 0)}",['Courbette']
"['La', 'Courbette', 'classique', ',', 'telle', 'que', 'pratiquée', ""l'"", 'École', 'de', 'Versailles', ',', 'consiste', 'en', 'une', 'levade', 'dans', 'laquelle', 'les', 'postérieurs', 'forment', 'un', 'angle', 'de', '35', 'degrés', 'avec', 'le', 'sol', ',', 'elle', 'est', ""l'"", 'expression', ""d'"", 'un', 'haut', 'niveau', 'de', 'rassembler', 'du', 'cheval', '.']","['O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O']","{('Term', 19, 19), ('Term', 39, 39), ('Term', 15, 15), ('Term', 41, 41), ('Term', 1, 2)}","['postérieurs', 'rassembler', 'levade', 'cheval', 'Courbette classique']"
"['Au', 'Cadre', 'noir', 'le', 'cheval', 'se', 'dresse', 'directement', 'vers', 'le', 'ciel', ',', 'antérieurs', 'ployés', 'et', 'non', 'en', 'partant', 'de', 'la', 'pesade', 'comme', 'elle', ""l'"", 'était', 'à', ""l'"", 'École', 'de', 'Versailles', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 20, 20), ('Term', 12, 12), ('Term', 13, 13), ('Term', 4, 4)}","['pesade', 'antérieurs', 'ployés', 'cheval']"
"['Le', 'Cheval', 'perd', 'son', 'rassembler', ',', 'et', ""c'"", 'est', 'pourquoi', 'cette', 'courbette', ""n'"", 'est', 'pas', 'classique', '.']","['O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 11, 11), ('Term', 1, 1), ('Term', 4, 4)}","['courbette', 'Cheval', 'rassembler']"
"['Le', 'cavalier', ',', 'qui', 'ne', 'chausse', 'pas', ""d'"", 'étrier', ',', 'garde', 'sa', 'position', 'et', 'se', 'retrouve', 'en', 'arrière', 'de', 'la', 'verticale', '.']","['O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 1, 1), ('Term', 5, 5), ('Term', 8, 8), ('Term', 12, 12), ('Term', 20, 20)}","['cavalier', 'chausse', 'étrier', 'position', 'verticale']"
"['Dans', 'la', 'Courbette', 'Viennoise', ',', 'le', 'cheval', 'bondit', 'par', 'détente', 'des', 'jarrets', ',', 'en', 'partant', 'de', 'la', 'pesade', '.']","['O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 6, 6), ('Term', 2, 3), ('Term', 11, 11), ('Term', 17, 17)}","['cheval', 'Courbette Viennoise', 'jarrets', 'pesade']"
"['Les', 'postérieurs', 'quittent', 'le', 'sol', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 1, 1)}",['postérieurs']
"['Cette', 'variante', 'est', 'pratiquée', 'à', ""l'"", 'école', 'espagnole', 'de', 'Vienne', 'qui', 'en', 'est', 'à', ""l'"", 'origine', 'mais', 'aussi', 'par', ""l'"", 'Ecole', 'Royale', 'Andalouse', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Levade', 'et', 'pesade']","['B-Term', 'O', 'B-Term']","{('Term', 2, 2), ('Term', 0, 0)}","['pesade', 'Levade']"
"['Pour', 'la', 'levade', ',', 'le', 'cheval', 'se', 'tient', 'uniquement', 'sur', 'ses', 'membres', 'postérieurs', 'en', 'formant', 'un', 'angle', 'de', '35', 'degrés', 'avec', 'le', 'sol', '.']","['O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 2, 2), ('Term', 5, 5), ('Term', 12, 12)}","['levade', 'cheval', 'postérieurs']"
"['La', 'pesade', 'est', 'plus', 'facile', '(', 'car', 'le', 'porte-à-faux', 'est', 'moindre', ')', ',', 'le', 'cheval', 'doit', 'former', 'un', 'angle', 'de', '45', 'degrés', 'avec', 'le', 'sol', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 14, 14), ('Term', 1, 1), ('Term', 8, 8)}","['cheval', 'pesade', 'porte-à-faux']"
"['Croupade', 'et', 'cabriole']","['B-Term', 'O', 'B-Term']","{('Term', 2, 2), ('Term', 0, 0)}","['cabriole', 'Croupade']"
"['La', '«', 'croupade', '»', 'pratiquée', 'Saumur', ',', 'où', 'le', 'cheval', 'rue', 'de', 'pied', 'ferme', ',', 'les', 'antérieurs', 'à', ""l'"", 'appui', ',', ""n'"", 'est', 'pas', 'classique', '.']","['O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 10, 10), ('Term', 2, 2), ('Term', 17, 19), ('Term', 16, 16), ('Term', 9, 9), ('Term', 12, 12)}","['rue', 'croupade', ""à l' appui"", 'antérieurs', 'cheval', 'pied']"
"['Elle', ""n'"", 'est', 'pas', 'exécuté', 'à', 'Vienne', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['La', '«', 'croupade', 'classique', '»', 'ou', '«', 'groupade', '»', 'étaient', 'pratiquées', 'à', ""l'"", 'École', 'de', 'Versailles', 'et', 'à', 'Vienne', '.']","['O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 2, 3), ('Term', 7, 7)}","['croupade classique', 'groupade']"
"['Dans', 'ce', 'mouvement', 'le', 'cheval', 'bondit', 'en', ""l'"", 'air', 'et', ""lorsqu'"", 'il', 'est', 'à', ""l'"", 'horizontale', ',', 'regroupe', 'ses', 'postérieurs', 'sous', 'sa', 'masse', 'en', 'les', 'mettant', 'à', 'la', 'même', 'hauteur', 'que', 'les', 'antérieurs', '.']","['O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 2, 2), ('Term', 20, 22), ('Term', 19, 19), ('Term', 32, 32), ('Term', 4, 4)}","['mouvement', 'sous sa masse', 'postérieurs', 'antérieurs', 'cheval']"
