words,labels,entities,term_list
['1'],['O'],set(),[]
"['How', 'Does', 'a', 'Wind', 'Turbine', 'Work', '?']","['O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O']","{('Term', 3, 4)}",['Wind Turbine']
"['Wind', 'turbines', 'produce', 'electricity', 'by', 'using', 'the', 'natural', 'power', 'of', 'the', 'wind', 'to', 'drive', 'a', 'generator', '.']","['B-Term', 'IN-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 11, 11), ('Term', 3, 3), ('Term', 15, 15), ('Term', 0, 1), ('Term', 8, 8)}","['wind', 'electricity', 'generator', 'Wind turbines', 'power']"
"['The', 'wind', 'is', 'a', 'clean', 'and', 'sustainable', 'fuel', 'source', ',', 'it', 'does', 'not', 'create', 'emissions', 'and', 'it', 'will', 'never', 'run', 'out', 'as', 'it', 'is', 'constantly', 'replenished', 'by', 'energy', 'from', 'the', 'sun', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 27, 27), ('Term', 14, 14), ('Term', 1, 1), ('Term', 6, 8)}","['energy', 'emissions', 'wind', 'sustainable fuel source']"
"['In', 'many', 'ways', ',', 'wind', 'turbines', 'are', 'the', 'natural', 'evolution', 'of', 'traditional', 'windmills', ',', 'but', 'now', 'typically', 'have', 'three', 'blades', ',', 'which', 'rotate', 'around', 'a', 'horizontal', 'hub', 'at', 'the', 'top', 'of', 'a', 'steel', 'tower', '.']","['O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 26, 26), ('Term', 22, 22), ('Term', 19, 19), ('Term', 33, 33), ('Term', 4, 5), ('Term', 12, 12)}","['hub', 'rotate', 'blades', 'tower', 'wind turbines', 'windmills']"
"['Most', 'wind', 'turbines', 'start', 'generating', 'electricity', 'at', 'wind', 'speeds', 'of', 'around', '3', '-', '4', 'metres', 'per', 'second', '(', 'm', '/', 's', ')', ',', '(', '8', 'miles', 'per', 'hour', ')', ';', 'generate', 'maximum', ""'"", 'rated', ""'"", 'power', 'at', 'around', '15', 'm', '/', 's', '(', '30mph', ')', ';', 'and', 'shut', 'down', 'to', 'prevent', 'storm', 'damage', 'at', '25', 'm', '/', 's', 'or', 'above', '(', '50mph', ')', '.']","['O', 'BN-Term', 'IN-Term', 'O', 'O', 'B-Term', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 7, 8), ('Term', 33, 33), ('Term', 35, 35), ('Term', 5, 5), ('Term', 51, 51), ('Term', 1, 2)}","['wind speeds', 'rated', 'power', 'electricity', 'storm', 'wind turbines']"
"['Wind', 'Turbine', 'Technology', 'Generating', 'electricity', 'from', 'the', 'wind', 'is', 'simple', ':', 'Wind', 'passes', 'over', 'the', 'blades', 'exerting', 'a', 'turning', 'force', '.']","['B-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 11, 11), ('Term', 15, 15), ('Term', 0, 2), ('Term', 7, 7), ('Term', 4, 4)}","['Wind', 'blades', 'Wind Turbine Technology', 'wind', 'electricity']"
"['The', 'turbine', 'rotating', 'blades', 'turn', 'a', 'shaft', 'inside', 'the', 'nacelle', ',', 'which', 'goes', 'into', 'a', 'gearbox', '.']","['O', 'B-Term', 'B-Term', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 2, 2), ('Term', 6, 6), ('Term', 3, 3), ('Term', 1, 1), ('Term', 9, 9), ('Term', 15, 15)}","['rotating', 'shaft', 'blades', 'turbine', 'nacelle', 'gearbox']"
"['The', 'gearbox', 'increases', 'the', 'rotation', 'speed', 'for', 'the', 'generator', ',', 'which', 'uses', 'magnetic', 'fields', 'to', 'convert', 'the', 'rotational', 'energy', 'into']","['O', 'B-Term', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 1, 1), ('Term', 17, 18), ('Term', 4, 5), ('Term', 12, 13), ('Term', 8, 8)}","['gearbox', 'rotational energy', 'rotation speed', 'magnetic fields', 'generator']"
"['Components', 'of', 'a', 'typical', 'wind']","['O', 'O', 'O', 'O', 'B-Term']","{('Term', 4, 4)}",['wind']
['www.embracewind.com'],['O'],set(),[]
['www.bwea.com'],['O'],set(),[]
"['electrical', 'energy', '.']","['BN-Term', 'IN-Term', 'O']","{('Term', 0, 1)}",['electrical energy']
"['The', 'power', 'output', 'goes', 'to', 'a', 'transformer', ',', 'which', 'converts', 'the', 'electricity', 'from', 'the', 'generator', 'at', 'around', '700', 'Volts', '(', 'V', ')', 'to', 'the', 'right', 'voltage', 'for', 'the', 'distribution', 'system', ',', 'typically', 'between', '11', 'kV', 'and', '132', 'kV', '.']","['O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O']","{('Term', 18, 18), ('Term', 34, 34), ('Term', 6, 6), ('Term', 11, 11), ('Term', 25, 25), ('Term', 37, 37), ('Term', 1, 2), ('Term', 28, 29), ('Term', 14, 14), ('Term', 20, 20)}","['Volts', 'kV', 'transformer', 'electricity', 'voltage', 'kV', 'power output', 'distribution system', 'generator', 'V']"
"['The', 'regional', 'electricity', 'distribution', 'networks', 'or', 'National', 'Grid', 'transmit', 'the', 'electricity', 'around', 'the', 'country', ',', 'and', 'on', 'into', 'homes', 'and', 'businesses', '.']","['O', 'O', 'BN-Term', 'IN-Term', 'I-Term', 'O', 'B-Term', 'I-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 10, 10), ('Term', 6, 7), ('Term', 2, 4)}","['electricity', 'National Grid', 'electricity distribution networks']"
"['Offshore', 'Technology']","['B-Term', 'B-Term']","{('Term', 1, 1), ('Term', 0, 0)}","['Technology', 'Offshore']"
"['Offshore', 'wind', 'farms', 'are', 'an', 'exciting', 'new', 'area', 'for', 'the', 'industry', ',', 'largely', 'due', 'to', 'the', 'fact', 'that', 'there', 'are', 'higher', 'wind', 'speeds', 'available', 'offshore', 'and', 'economies', 'of', 'scale', 'allow', 'for', 'the', 'installation', 'of', 'larger', 'size', 'wind', 'turbines', 'offshore', '.']","['B-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'B-Term', 'O']","{('Term', 10, 10), ('Term', 38, 38), ('Term', 0, 2), ('Term', 21, 22), ('Term', 36, 37), ('Term', 24, 24)}","['industry', 'offshore', 'Offshore wind farms', 'wind speeds', 'wind turbines', 'offshore']"
"['Offshore', 'wind', 'turbine', 'technology', 'is', 'based', 'on', 'the', 'same', 'principles', 'as', 'onshore', 'technology', '.']","['B-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'O']","{('Term', 11, 11), ('Term', 0, 3), ('Term', 12, 12)}","['onshore', 'Offshore wind turbine technology', 'technology']"
"['Foundations', 'are', 'constructed', 'to', 'hold', 'the', 'superstructure', ',', 'of', 'which', 'there', 'are', 'a', 'number', 'of', 'designs', ',', 'but', 'the', 'most', 'common', 'is', 'a', 'driven', 'pile', '.']","['B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O']","{('Term', 23, 24), ('Term', 0, 0)}","['driven pile', 'Foundations']"
"['The', 'top', 'of', 'the', 'foundation', 'is', 'painted', 'a', 'bright', 'colour', 'to', 'make', 'it', 'visible', 'to', 'ships', 'and', 'has', 'an', 'access', 'platform', 'to', 'allow', 'maintenance', 'teams', 'to', 'dock', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 4, 4)}",['foundation']
"['Subsea', 'cables', 'take', 'the', 'power', 'to', 'a', 'transformer', ',', '(', 'which', 'can', 'be', 'either', 'offshore', 'or', 'onshore', ')', 'which', 'converts', 'the', 'electricity', 'to', 'a', 'high', 'voltage', '(', 'normally', 'between', '33', 'kV', 'and', '132', 'kv', ')', 'before', 'connecting', 'to', 'the', 'grid', 'at', 'a', 'substation', 'on', 'land', '.']","['O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 30, 30), ('Term', 16, 16), ('Term', 1, 1), ('Term', 7, 7), ('Term', 21, 21), ('Term', 25, 25), ('Term', 33, 33), ('Term', 39, 39), ('Term', 14, 14), ('Term', 4, 4)}","['kV', 'onshore', 'cables', 'transformer', 'electricity', 'voltage', 'kv', 'grid', 'offshore', 'power']"
"['The', 'building', 'of', 'Scroby', 'Sands', 'offshore', 'wind', 'farm', 'Top', 'row', ',', 'from', 'left', ':', 'Offshore', 'wind', 'turbines', 'have', 'a', 'brightly', 'coloured', 'base', ';', 'on', 'to', 'which', 'the', 'wind', 'turbine', 'tower', 'is', 'embedded', ';', 'jackhammers', 'drive', 'the', 'monopile', 'into', 'the', 'seabed', '.']","['O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 27, 29), ('Term', 36, 36), ('Term', 14, 16), ('Term', 5, 7)}","['wind turbine tower', 'monopile', 'Offshore wind turbines', 'offshore wind farm']"
"['Bottom', 'row', ':', 'installation', 'of', 'the', 'nacelle', ';', 'commissioned', 'wind', 'turbine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 6, 6), ('Term', 9, 10)}","['nacelle', 'wind turbine']"
"['Images', '©', 'EON', 'UK', 'Renewables', ',', 'BWEA', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Operation', 'and', 'Maintenance']","['O', 'O', 'O']",set(),[]
"['Both', 'onshore', 'and', 'offshore', 'wind', 'turbines', 'have', 'instruments', 'on', 'top', 'of', 'the', 'nacelle', ',', 'an', 'anemometer', 'and', 'a', 'wind', 'vane', ',', 'which', 'respectively', 'measure', 'wind', 'speed', 'and', 'direction', '.']","['O', 'B-Term', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'B-Term', 'O']","{('Term', 3, 5), ('Term', 1, 1), ('Term', 15, 15), ('Term', 27, 27), ('Term', 24, 25), ('Term', 18, 19), ('Term', 12, 12)}","['offshore wind turbines', 'onshore', 'anemometer', 'direction', 'wind speed', 'wind vane', 'nacelle']"
"['When', 'the', 'wind', 'changes', 'direction', ',', 'motors', 'turn', 'the', 'nacelle', ',', 'and', 'the', 'blades', 'along', 'with', 'it', ',', 'around', 'to', 'face', 'into', 'the', 'wind', '.']","['O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 2, 2), ('Term', 6, 6), ('Term', 9, 9), ('Term', 23, 23), ('Term', 13, 13)}","['wind', 'motors', 'nacelle', 'wind', 'blades']"
"['The', 'blades', 'also', ""'"", 'pitch', ""'"", 'or', 'angle', 'to', 'ensure', 'that', 'the', 'optimum', 'amount', 'of', 'power', 'is', 'extracted', 'from', 'the', 'wind', '.']","['O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 20, 20), ('Term', 1, 1), ('Term', 15, 15), ('Term', 4, 4)}","['wind', 'blades', 'power', 'pitch']"
"['All', 'this', 'information', 'is', 'recorded', 'by', 'computers', 'and', 'transmitted', 'to', 'a', 'control', 'centre', ',', 'which', 'can', 'be', 'many', 'miles', 'away', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Wind', 'turbines', 'are', 'not', 'physically', 'staffed', ',', 'although', 'each', 'will', 'have']","['B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 0, 1)}",['Wind turbines']
['www.embracewind.com'],['O'],set(),[]
"['periodic', 'mechanical', 'checks', ',', 'often', 'carried', 'out', 'by', 'local', 'firms', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 1, 1)}",['mechanical']
"['The', 'onboard', 'computers', 'also', 'monitor', 'the', 'performance', 'of', 'each', 'turbine', 'component', ',', 'and', 'will', 'automatically', 'shut', 'the', 'turbine', 'down', 'if', 'any', 'problems', 'are', 'detected', ',', 'alerting', 'an', 'engineer', 'that', 'an', 'onsite', 'visit', 'is', 'required', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 27, 27), ('Term', 17, 17), ('Term', 9, 9)}","['engineer', 'turbine', 'turbine']"
"['The', 'amount', 'of', 'electricity', 'produced', 'from', 'a', 'wind', 'turbine', 'depends', 'on', 'three', 'factors', ':', '1', ')', 'Wind', 'speed', 'The', 'power', 'available', 'from', 'the', 'wind', 'is', 'a', 'function', 'of', 'the', 'cube', 'of', 'the', 'wind', 'speed', '.']","['O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O']","{('Term', 7, 8), ('Term', 19, 19), ('Term', 3, 3), ('Term', 23, 23), ('Term', 16, 17), ('Term', 32, 33)}","['wind turbine', 'power', 'electricity', 'wind', 'Wind speed', 'wind speed']"
"['Therefore', 'if', 'the', 'wind', 'blows', 'at', 'twice', 'the', 'speed', ',', 'its', 'energy', 'content', 'will', 'increase', 'eight-fold', '.']","['O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 11, 11), ('Term', 3, 3)}","['energy', 'wind']"
"['Turbines', 'at', 'a', 'site', 'where', 'the', 'wind', 'speed', 'averages', '8', 'm', '/', 's', 'produce', 'around', '75', '-', '100', '%', 'more', 'electricity', 'than', 'those', 'where', 'the', 'average', 'wind', 'speed', 'is', '6', 'm', '/', 's', '.']","['B-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 20, 20), ('Term', 6, 7), ('Term', 26, 27), ('Term', 0, 0)}","['electricity', 'wind speed', 'wind speed', 'Turbines']"
"['2', ')', 'Wind', 'turbine', 'availability', 'This', 'is', 'the', 'capability', 'to', 'operate', 'when', 'the', 'wind', 'is', 'blowing', ',', 'i.e.', 'when', 'the', 'wind', 'turbine', 'is', 'not', 'undergoing', 'maintenance', '.']","['O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 2, 3), ('Term', 13, 13), ('Term', 20, 21)}","['Wind turbine', 'wind', 'wind turbine']"
"['This', 'is', 'typically', '98', '%', 'or', 'above', 'for', 'modern', 'European', 'machines', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 10, 10)}",['machines']
"['3', ')', 'The', 'way', 'wind', 'turbines', 'are', 'arranged']","['O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O']","{('Term', 4, 5)}",['wind turbines']
"['Typical', 'power', 'curve', 'of', 'a', 'wind', 'turbine']","['O', 'BN-Term', 'I-Term', 'O', 'O', 'BN-Term', 'IN-Term']","{('Term', 5, 6), ('Term', 1, 2)}","['wind turbine', 'power curve']"
"['storm', 'protection', 'shutdown', 'rated', 'wind', 'speed', 'typical', 'average', 'wind', 'speed', 'cut-in', 'wind', 'speed']","['BN-Term', 'I-Term', 'I-Term', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'BN-Term', 'I-Term', 'BN-Term', 'IN-Term', 'IN-Term']","{('Term', 3, 5), ('Term', 0, 2), ('Term', 10, 12), ('Term', 8, 9)}","['rated wind speed', 'storm protection shutdown', 'cut-in wind speed', 'wind speed']"
['2'],['O'],set(),[]
"['power', '(', 'MW', ')']","['B-Term', 'O', 'B-Term', 'O']","{('Term', 2, 2), ('Term', 0, 0)}","['MW', 'power']"
['1'],['O'],set(),[]
['0'],['O'],set(),[]
['0'],['O'],set(),[]
['5'],['O'],set(),[]
['10'],['O'],set(),[]
"['15', 'wind', 'speed', '(', 'm', '/', 's', ')']","['O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 1, 2)}",['wind speed']
['20'],['O'],set(),[]
['25'],['O'],set(),[]
['30'],['O'],set(),[]
"['LIGHT', 'AIR']","['O', 'O']",set(),[]
"['MODERATE', 'BREEZE']","['O', 'B-Term']","{('Term', 1, 1)}",['BREEZE']
"['LIGHT', 'BREEZE']","['O', 'B-Term']","{('Term', 1, 1)}",['BREEZE']
"['GENTLE', 'BREEZE']","['O', 'B-Term']","{('Term', 1, 1)}",['BREEZE']
['STORM'],['B-Term'],"{('Term', 0, 0)}",['STORM']
['CALM'],['O'],set(),[]
"['STRONG', 'BREEZE']","['O', 'B-Term']","{('Term', 1, 1)}",['BREEZE']
"['Wind', 'farms', 'are', 'laid', 'out', 'so', 'that', 'one', 'turbine', 'does', 'not', 'take', 'the', 'wind', 'away', 'from', 'another', '.']","['B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 13, 13), ('Term', 8, 8), ('Term', 0, 1)}","['wind', 'turbine', 'Wind farms']"
"['However', 'other', 'factors', 'such', 'as', 'environmental', 'considerations', ',', 'visibility', 'and', 'grid', 'connection', 'requirements', 'often', 'take', 'precedence', 'over', 'the', 'optimum', 'wind', 'capture', 'layout', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O']","{('Term', 19, 19), ('Term', 10, 11), ('Term', 5, 5)}","['wind', 'grid connection', 'environmental']"
